,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,star_rating,ratings,latest_price
802,ASUS,VivoBook,AMD,Ryzen 5,11.0,8,DDR4,256,1025,Windows,64,0,Casual,15.6,1,No,No,4.6,49,668.41
803,ASUS,VivoBook,AMD,Ryzen 5,11.0,8,DDR4,256,1025,Windows,32,0,Casual,15.6,1,No,Yes,4.4,474,668.41
804,Lenovo,Ideapad,AMD,Ryzen 5,11.0,8,DDR4,256,1025,Windows,64,0,Gaming,15.6,1,No,Yes,4.5,861,777.8
805,HP,Pavilion,AMD,Ryzen 5,11.0,4,DDR4,256,1025,Windows,64,4,Gaming,15.12,1,No,No,4.6,34,972.41
806,DELL,Ryzen,AMD,Ryzen 5,11.0,4,DDR4,256,1025,Windows,32,0,Casual,15.12,0,No,No,0.0,0,631.94
807,ASUS,VivoBook,AMD,Ryzen 5,11.0,4,DDR4,256,1025,Windows,64,0,Casual,15.12,1,No,Yes,4.2,165,765.65
808,HP,Ryzen,AMD,Ryzen 5,11.0,4,DDR4,256,1025,Windows,64,0,ThinNlight,15.12,1,No,No,4.4,698,644.1
809,ASUS,Ryzen,AMD,Ryzen 5,11.0,4,DDR4,256,1025,Windows,64,0,ThinNlight,15.12,1,No,Yes,0.0,0,912.85
810,ASUS,ASUS,AMD,Ryzen 7,10.0,16,DDR4,512,0,Windows,32,4,Gaming,17.3,0,No,No,4.8,22,935.82
811,ASUS,Ryzen,AMD,Ryzen 7,10.0,16,DDR4,512,0,Windows,64,4,Casual,14.0,1,No,No,0.0,0,972.29
812,ASUS,ROG,AMD,Ryzen 7,10.0,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,4.5,144,875.05
813,ASUS,ROG,AMD,Ryzen 7,10.0,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,4.5,1810,875.05
814,Lenovo,Lenovo,AMD,Ryzen 7,10.0,16,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,Yes,4.6,26,1215.39
815,ASUS,Ryzen,AMD,Ryzen 7,10.0,16,DDR4,512,0,Windows,64,0,Casual,14.0,1,No,No,0.0,0,972.29
816,DELL,Ryzen,AMD,Ryzen 7,10.0,16,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,0.0,0,1142.46
817,ASUS,ASUS,AMD,Ryzen 7,10.0,16,DDR4,512,0,Windows,64,4,Gaming,17.3,0,No,No,4.6,1067,1008.75
818,ASUS,ROG,AMD,Ryzen 7,10.0,4,DDR5,512,0,Windows,64,4,Casual,16.0,0,No,No,0.0,0,1300.47
819,ASUS,VivoBook,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,Casual,16.0,1,No,No,4.7,25,1130.3
821,ASUS,VivoBook,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,Casual,16.0,1,No,Yes,0.0,0,692.72
822,MSI,Modern,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,Casual,15.12,0,No,No,0.0,0,789.96
823,Lenovo,Ideapad,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,Casual,15.12,1,No,Yes,4.4,530,741.34
824,Lenovo,Ryzen,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,4,Casual,16.0,1,No,Yes,0.0,0,1033.04
825,HP,Pavilion,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,4,Casual,16.0,1,No,No,4.6,273,1105.99
826,Vaio,E,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,ThinNlight,15.12,2,No,Yes,3.8,139,692.72
827,ASUS,VivoBook,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,Casual,15.12,1,No,No,4.2,77,777.8
828,Lenovo,Ideapad,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,Casual,15.12,1,No,Yes,4.4,105,777.8
829,HP,Ryzen,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,ThinNlight,15.12,1,No,Yes,4.1,44,704.98
830,ASUS,Ryzen,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,32,4,Casual,15.12,0,No,No,0.0,0,880.03
831,Lenovo,Yoga,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,Casual,16.0,1,Yes,No,4.7,6,960.13
832,acer,Aspire,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,ThinNlight,15.12,1,No,No,0.0,0,729.18
833,ASUS,ROG,AMD,Ryzen 7,10.0,4,DDR5,512,0,Windows,32,4,Casual,16.0,1,No,No,0.0,0,1361.25
834,HP,Ryzen,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,32,0,Casual,16.0,0,Yes,No,0.0,0,1324.91
835,DELL,G5,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,6,Casual,16.0,0,No,No,4.1,191,1093.84
836,Lenovo,Yoga,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,Casual,16.0,3,Yes,Yes,0.0,0,960.11
837,Lenovo,Ryzen,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,4,Casual,16.0,0,No,No,3.0,4,889.0
838,Lenovo,Ryzen,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,4,Casual,16.0,1,No,No,0.0,0,1300.47
839,ASUS,Ryzen,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,32,4,Casual,15.12,0,No,No,0.0,0,972.29
840,DELL,Inspiron,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,Casual,16.0,1,Yes,Yes,0.0,0,1088.73
841,HP,15s,AMD,Ryzen 7,10.0,4,DDR4,512,0,Windows,64,0,ThinNlight,15.12,1,No,Yes,4.5,134,832.62
842,Lenovo,Ideapad,AMD,Ryzen 7,10.0,16,DDR4,512,0,Windows,64,0,Casual,14.0,1,No,No,0.0,0,892.18
843,Vaio,E,AMD,Ryzen 7,10.0,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,2,No,Yes,3.8,139,704.87
